,index,batter_name,pitcher_name,matchup_score,isStarter,pitcher_team
95,135,"Bregman, Alex","Herget, Jimmy",0.013553180997315539,False,LAA
96,136,"Berti, Jon","Herget, Jimmy",-0.02255967678417277,False,LAA
97,137,"Brantley, Michael","Herget, Jimmy",0.010938692976218205,False,LAA
98,138,"Álvarez, Yordan","Herget, Jimmy",0.13194285145482818,False,LAA
99,139,"Sanchez, Jesus","Herget, Jimmy",0.053742738380276836,False,LAA
100,140,"Hays, Austin","Gustave, Jandel",-0.052250929906091315,False,MIL
101,141,"Schwindel, Frank","Gustave, Jandel",-0.009721946184080878,False,MIL
102,142,"Odor, Rougned","Gustave, Jandel",0.009383123715658505,False,MIL
103,143,"Wisdom, Patrick","Gustave, Jandel",-0.01820173887146096,False,MIL
104,144,"Happ, Ian","Gustave, Jandel",-0.046949339493433107,False,MIL
105,145,"Mateo, Jorge","Gustave, Jandel",-0.07234672149689524,False,MIL
106,146,"Hoerner, Nico","Gustave, Jandel",-0.07903642059728024,False,MIL
107,147,"Contreras, Willson","Gustave, Jandel",0.07460882711772229,False,MIL
108,148,"McCutchen, Andrew","Tate, Dillon",0.23416295260413728,False,BAL
109,149,"Caratini, Victor","Tate, Dillon",0.1459388112631257,False,BAL
110,150,"Franco, Wander","Tate, Dillon",0.23814038528342102,False,BAL
111,151,"Kiermaier, Kevin","Tate, Dillon",0.04330582731402314,False,BAL
112,152,"Díaz, Yandy","Tate, Dillon",-0.026633976329476984,False,BAL
113,153,"Adames, Willy","Tate, Dillon",0.0003053997906393616,False,BAL
114,154,"Urias, Ramon","Cousins, Jake",0.03458789697932748,False,MIL
115,155,"Mancini, Trey","Cousins, Jake",0.12792490467725234,False,MIL
116,156,"Heyward, Jason","Cousins, Jake",-0.011911309207549065,False,MIL
117,157,"Schwindel, Frank","Cousins, Jake",-0.09876086158949197,False,MIL
118,158,"Happ, Ian","Cousins, Jake",0.4156866978590233,False,MIL
119,159,"Chirinos, Robinson","Houser, Adrian",-0.06983866127920293,True,MIL
120,160,"Urias, Ramon","Houser, Adrian",0.1277893933418488,True,MIL
121,161,"Odor, Rougned","Houser, Adrian",-0.021740981274988747,True,MIL
122,163,"Santander, Anthony","Houser, Adrian",0.09996560099094517,True,MIL
123,164,"Mullins, Cedric","Houser, Adrian",0.1056879983150804,True,MIL
124,165,"Mancini, Trey","Houser, Adrian",0.17444305183261682,True,MIL
125,166,"Mateo, Jorge","Houser, Adrian",-0.00939600816537452,True,MIL
126,167,"Hays, Austin","Houser, Adrian",0.04991638451800603,True,MIL
127,169,"Mountcastle, Ryan","Houser, Adrian",-0.04466791236450256,True,MIL
128,170,"Hernandez, Enrique","Manning, Matt",0.008543316952399798,True,DET
129,171,"Bogaerts, Xander","Manning, Matt",0.0006306822445254664,True,DET
130,172,"Bradley, Jackie","Manning, Matt",-0.0678010221421435,True,DET
131,173,"Devers, Rafael","Manning, Matt",0.05440682761640567,True,DET
132,174,"Arauz, Jonathan","Manning, Matt",0.06740682197318204,True,DET
133,178,"Shaw, Travis","Manning, Matt",-0.03102017813763338,True,DET
134,179,"Verdugo, Alex","Manning, Matt",0.027606293173501616,True,DET
135,180,"Martinez, J. D.","Manning, Matt",0.3584181733066032,True,DET
136,183,"Vazquez, Christian","Manning, Matt",0.09229738781200672,True,DET
137,187,"Mercado, Oscar","Payamps, Joel",-0.029916585436732524,False,KC
138,188,"Clement, Ernie","Payamps, Joel",-0.07208690405596066,False,KC
139,189,"Miller, Owen","Payamps, Joel",0.007060375343196075,False,KC
140,190,"Reyes, Franmil","Payamps, Joel",-0.015011031930993783,False,KC
141,191,"Rosario, Amed","Payamps, Joel",-0.006068096295360277,False,KC
142,192,"Goldschmidt, Paul","Payamps, Joel",0.027051271254322218,False,KC
143,193,"Carlson, Dylan","Payamps, Joel",-0.02163022006664286,False,KC
144,194,"Mercado, Oscar","Staumont, Josh",0.11212942995175859,False,KC
145,195,"Miller, Owen","Staumont, Josh",0.3567718223400302,False,KC
146,196,,"Staumont, Josh",0.16684078522577667,False,KC
147,197,"Reyes, Franmil","Staumont, Josh",0.02380750966528327,False,KC
148,198,"Rosario, Amed","Staumont, Josh",0.022655525410342884,False,KC
149,199,"Ramirez, Jose","Staumont, Josh",-0.07770811598657217,False,KC
150,201,"Straw, Myles","Staumont, Josh",0.003410547288036755,False,KC
151,202,"Hedges, Austin","Hernandez, Carlos",-0.000794877559652023,False,KC
152,203,,"Hernandez, Carlos",-0.04273642417689539,False,KC
153,204,"Gimenez, Andres","Hernandez, Carlos",0.04523107168928364,False,KC
154,205,"Straw, Myles","Hernandez, Carlos",-0.07085656562908776,False,KC
155,207,"Mercado, Oscar","Hernandez, Carlos",0.12436948847328075,False,KC
156,209,"Miller, Owen","Hernandez, Carlos",0.0060598826457346705,False,KC
157,211,"Reyes, Franmil","Hernandez, Carlos",-0.009265385243279217,False,KC
158,214,"Rosario, Amed","Hernandez, Carlos",0.0039060662651304247,False,KC
159,217,"Ramirez, Jose","Hernandez, Carlos",-0.012521663479069188,False,KC
160,219,,"Civale, Aaron",0.014149501498733476,True,CLE
161,220,"Mondesi, Adalberto","Civale, Aaron",0.05062901096568493,True,CLE
162,221,"Santana, Carlos","Civale, Aaron",0.1057237829783237,True,CLE
163,222,"Lopez, Nicky","Civale, Aaron",-0.03907442193186482,True,CLE
164,223,"Merrifield, Whit","Civale, Aaron",-0.018439407691220912,True,CLE
165,225,"Dozier, Hunter","Civale, Aaron",-0.02814579268760617,True,CLE
166,226,"Perez, Salvador","Civale, Aaron",-0.09121891565427194,True,CLE
167,227,"Taylor, Michael","Civale, Aaron",-0.12518485084099207,True,CLE
168,231,"Yastrzemski, Mike","Stammen, Craig",-0.008036751911689493,False,SD
169,232,"Dubon, Mauricio","Stammen, Craig",0.09688066512215704,False,SD
170,233,"Ruf, Darin","Stammen, Craig",0.16177649714282524,False,SD
171,234,"Belt, Brandon","Stammen, Craig",-0.05574699972699728,False,SD
172,235,"Joe, Connor","Santana, Dennis",-0.01305414886069674,False,TEX
173,237,"Iglesias, José","Santana, Dennis",-0.024201945159881378,False,TEX
174,239,"Kirk, Alejandro","Santana, Dennis",-0.10914077848786465,False,TEX
175,241,"Gurriel, Lourdes","Santana, Dennis",0.1863787163090458,False,TEX
176,243,"Bichette, Bo","Santana, Dennis",0.05335444047076406,False,TEX
177,245,"Guerrero, Vladimir","Santana, Dennis",0.1160040541125417,False,TEX
178,247,"Diaz, Elias","Santana, Dennis",-0.006376276571158022,False,TEX
179,249,"Lowe, Nathaniel","Lawrence, Justin",-0.03245157025573847,False,COL
180,250,"Turner, Trea","Lawrence, Justin",-0.019178965808587096,False,COL
181,251,"García, Adolis","Lawrence, Justin",0.3159290677992438,False,COL
182,252,"Turner, Justin","Lawrence, Justin",0.13099013329622256,False,COL
183,253,"Betts, Mookie","Lawrence, Justin",-0.019408418045725885,False,COL
184,254,"Lux, Gavin","Lawrence, Justin",-0.03669628548954829,False,COL
185,255,"Rodgers, Brendan","Abreu, Albert",-0.013732872488112911,False,TEX
186,256,"McMahon, Ryan","Abreu, Albert",-0.04065205303193136,False,TEX
187,257,"Cron, C. J.","Abreu, Albert",-0.03886303028715197,False,TEX
188,258,"Lowe, Brandon","Blackburn, Paul",-0.010481265940775825,True,OAK
189,259,"Franco, Wander","Blackburn, Paul",0.05002947336533847,True,OAK
190,260,"Walls, Taylor","Blackburn, Paul",-0.0378994943783437,True,OAK
191,261,"Phillips, Brett","Blackburn, Paul",0.07731145812241685,True,OAK
192,263,"Mejia, Francisco","Blackburn, Paul",0.035575653551892385,True,OAK
193,266,"Choi, Ji-Man","Blackburn, Paul",0.008534399156619814,True,OAK
194,267,"Díaz, Yandy","Blackburn, Paul",0.10754390929401597,True,OAK
195,269,"Kemp, Tony","Mazza, Chris",-0.010887175737623787,False,TB
196,270,"Neuse, Sheldon","Mazza, Chris",0.07160225192339624,False,TB
197,271,"Pinder, Chad","Mazza, Chris",0.44455983383102515,False,TB
198,272,"Murphy, Sean","Mazza, Chris",-0.08957302269615654,False,TB
199,273,"Andrus, Elvis","Mazza, Chris",0.09292344332481166,False,TB
200,274,"Pache, Cristian","Mazza, Chris",0.04569233761684195,False,TB
201,275,"Vogt, Stephen","Mazza, Chris",0.13599307600735927,False,TB
202,281,"Brown, Seth","Mazza, Chris",0.2368201205506098,False,TB
203,282,"McKinney, Billy","Mazza, Chris",0.02004416022682939,False,TB
